seq,rank,name,industry,headquarters,country,ceo,founded,employees,revenue($M),profits($M),assets($M),mkt_value($M),forbes_webpage
913,913,Sumitomo Metal Mining,Materials,Tokyo,Japan,Nobumasa Kemori,1950,"7,072","10,710","2,000","17,890","13,030",sumitomo-metal-mining
914,914,Asustek Computer,Technology Hardware & Equipment,Taipei,Taiwan,S.Y. Hsu Samson Hu,1989,"15,400","19,160","1,590","18,220","9,220",asustek-computer
915,915,Associated British Foods,"Food, Drink & Tobacco",London,United Kingdom,George Garfield Weston,1935,"128,000","18,990",654,"22,780","16,580",associated-british-foods
916,915,China National Nuclear Power,Utilities,Beijing,China,Ming Ze Ma,2008,"13,152","9,600",471,"64,270","22,000",china-national-nuclear-power
917,917,China International Capital,Diversified Financials,Beijing,China,Zhao Hui Huang,1995,"13,557","3,610","1,620","101,950","10,030",china-international-capital
918,918,China Molybdenum,Materials,Luoyang,China,Rui Wen Sun,2006,"11,472","26,770",792,"21,570","11,400",china-molybdenum
919,919,Equitable Holdings,Diversified Financials,"New York, New York",United States,Mark Pearson,1859,"7,800","11,040",-439,"292,260","11,770",equitable-holdings
920,920,Covestro,"Construction, Oil & Gas Operations, Mining and Chemicals",Leverkusen,Germany,Markus Steilemann,2015,"17,900","18,800","1,910","18,030","8,650",covestro
921,920,M&G,Diversified Financials,London,United Kingdom,John William Foley,2018,na,"23,380",114,"294,550","6,990",mg
922,922,Shopify,"IT, Internet, Software & Services",Ottawa,Canada,Tobias Lütke,2004,"9,000","4,610","2,910","13,340","57,930",shopify
923,923,Shanghai Construction,Construction,Shanghai,China,"Jia Jun Bian, Junichi Goishi",1994,"51,369","43,400",584,"55,510","4,220",shanghai-construction
924,924,Essity,Household & Personal Products,Stockholm,Sweden,Carl Magnus Groth,1929,"46,000","14,590",795,"19,330","19,430",essity
925,925,WW Grainger,Trading Companies,"Lake Forest, Illinois",United States,Donald G. Macpherson,1927,"24,200","13,020","1,040","6,590","25,520",ww-grainger
926,926,Canara Bank,Banking,Bangalore,India,Lingam Venkata Prabhakar,1906,"88,213","12,680",730,"164,710","5,530",canara-bank
927,927,Viatris,Drugs & Biotechnology,"Canonsburg, Pennsylvania",United States,Michael Goettler,1961,"37,000","17,860","-1,270","54,840","12,430",viatris
928,928,American Water Works,Utilities,"Camden, New Jersey",United States,M. Susan Hardwick,1886,"6,400","3,930","1,260","27,010","29,840",american-water-works
929,929,United Microelectronics,Semiconductors,Hsinchu,Taiwan,Shan Chieh Chien,1980,na,"7,630","2,000","16,790","20,330",united-microelectronics
930,930,VF,"Clothing, Shoes, Sports Equipment","Denver, Colorado",United States,Steven E. Rendle,1899,"35,000","11,620","1,400","13,540","21,230",vf
931,931,Intuitive Surgical,Health Care Equipment & Services,"Sunnyvale, California",United States,Gary S. Guthart,1995,"9,793","5,910","1,640","13,680","90,640",intuitive-surgical
932,932,Snam,Oil & Gas Operations,Milan,Italy,Stefano Venier,1941,"3,430","3,900","1,770","30,550","18,320",snam
933,933,Vestas Wind Systems,Capital Goods,Aarhus,Denmark,Henrik Andersen,1945,"29,427","18,420",197,"22,420","28,230",vestas-wind-systems
934,934,Subaru,Automotive (Automotive and Suppliers),Tokyo,Japan,Tomomi Nakamura,1953,"36,070","25,150",593,"29,470","11,610",subaru
935,935,Jiangsu Zhongnan Construction Group,Construction,Shanghai,China,Yu Han Chen,1998,"46,615","14,000",946,"54,310","2,460",jiangsu-zhongnan-construction-group
936,936,Carlsberg,"Food, Drink & Tobacco",Copenhagen,Denmark,Cees't C. Hart,1847,"39,375","10,590","1,090","19,320","17,760",carlsberg
937,937,Builders FirstSource,Retailing,"Dallas, Texas",United States,David E. Flitman,1998,"28,000","19,890","1,730","10,710","10,860",builders-firstsource
938,937,Semiconductor Manufacturing International,Semiconductors,Shanghai,China,"Mong Song Liang, Hai Jun Zhao",2000,"17,681","5,510","1,670","36,080","16,030",semiconductor-manufacturing-international-corp
939,939,PKO Bank Polski,Banking,Warsaw,Poland,Iwona Beata Duda,1919,"25,657","4,450","1,260","103,730","10,900",pko-bank-polski
940,940,ENN Energy Holdings,Oil & Gas Operations,Langfang,China,Ji Shen Han,1992,na,"14,440","1,200","15,690","14,990",enn-energy-holdings
941,941,WH Group,"Food, Drink & Tobacco",Hong Kong,Hong Kong,Gordon Lijun Guo,2006,"107,000","27,290","1,070","19,410","8,860",wh-group
942,942,Amcor,"Engineering, Manufacturing",Warmley,United Kingdom,Ronald Stephen Delia,1860,"46,000","13,590",949,"17,140","17,530",amcor
943,943,Korea Gas,Oil & Gas Operations,Daegu,South Korea,Hee-Bong Chae,1983,"4,307","24,030",830,"36,740","2,810",korea-gas
944,944,Jefferies Financial,Conglomerates,"New York, New York",United States,Richard Brian Handler,1968,"5,556","8,640","1,410","60,040","7,680",jefferies-financial
945,945,Severstal,Materials,Cherepovets,Russia,Alexander Anatolievich Shevelev,1955,na,"11,630","4,070","8,750","11,500",severstal
946,946,Alexandria Real Estate Equities,Diversified Financials,"Pasadena, California",United States,"Peter M. Moglia, Stephen A. Richardson",1994,559,"2,110",983,"30,220","31,950",alexandria-real-estate-equities
947,946,Julius Baer Group,Banking,Zurich,Switzerland,Philipp Rickenbacher,1890,"6,727","4,950","1,180","127,650","10,340",julius-baer-group
948,946,Sanlam,Diversified Financials,Bellville,South Africa,Paul Brendan Hanratty,1918,"21,180","14,420",640,"64,880","9,090",sanlam
949,949,Emaar Properties,Construction,Dubai,United Arab Emirates,Amit Jain,1997,na,"7,860","1,030","33,170","14,070",emaar-properties
950,950,Joint Stock Commercial Bank for Foreign Trade of Vietnam,Banking,Ha Noi,Vietnam,Dung Quang Pham,1955,"21,670","3,910",955,"62,070","16,940",joint-stock-commercial-bank-for-foreign-trade-of-vietnam
951,951,Motorola Solutions,Aerospace & Defense,"Chicago, Illinois",United States,Gregory Q. Brown,2011,"18,700","8,170","1,250","12,190","37,700",motorola-solutions
952,951,Shanghai Rural Commercial Bank,Banking,Shanghai,China,na,2005,na,"5,770","1,180","164,280","9,280",shanghai-rural-commercial-bank
953,953,Braskem,Chemicals,Butanta,Brazil,Roberto Lopes Pontes Simões,2002,"8,008","19,570","2,590","16,620","6,760",braskem
954,954,Bank of Baroda,Banking,Vadodara,India,Sanjiv Chadha,1957,"55,754","12,060",686,"167,760","7,540",bank-of-baroda
955,955,S-Oil,Oil & Gas Operations,Seoul,South Korea,Hussain A. Al-Qahtani,1976,"3,154","23,980","1,200","15,810","9,910",s-oil
956,956,Tractor Supply,Retail and Wholesale,"Brentwood, Tennessee",United States,Hal Lawton,1938,"46,000","12,960","1,000","7,690","23,180",tractor-supply
957,957,Suncorp Group,Insurance,Brisbane,Australia,Steve Johnston,1996,"13,505","9,880",698,"72,310","10,270",suncorp-group
958,958,MOL Hungarian Oil,Oil & Gas Operations,Budapest,Hungary,"Zsolt Hernádi, József Molnár",1991,"24,948","19,640","1,730","20,040","7,080",mol-hungarian-oil
959,959,Aptiv,Consumer Durables,Dublin,Ireland,Kevin P. Clark,1994,"155,000","15,620",590,"18,010","28,850",aptiv
960,960,Voya Financial,Insurance,"New York, New York",United States,Rodney Owen Martin Jr.,1999,"6,000","4,230","2,110","158,530","7,040",voya-financial
961,961,GS Holdings,Conglomerates,Seoul,South Korea,"Chang-Soo Huh, Byung-Yong Lim",1966,61,"17,670","1,270","26,240","3,370",gs-holdings
962,962,Gerdau (Cosigua),Materials,São Paulo,Brazil,Gustavo Werneck da Cunha,1901,na,"14,520","2,870","13,250","10,160",gerdau-cosigua
963,963,Equity Residential,Diversified Financials,"Chicago, Illinois",United States,Mark J. Parrell,1993,"2,400","2,430","1,330","21,170","34,270",equity-residential
964,964,Qatar Islamic Bank,Banking,Doha,Qatar,Bassel Gamaludin Mohamed Ali,1982,"1,179","1,820","1,010","52,860","16,400",qatar-islamic-bank
965,965,Hormel Foods,"Food, Drink & Tobacco","Austin, Minnesota",United States,Jim Snee,1891,"20,000","11,970",926,"12,830","29,200",hormel-foods
966,966,Shenwan Hongyuan Group,Diversified Financials,Urumqi,China,Hao Huang,1996,"11,440","6,810","1,460","94,300","5,460",shenwan-hongyuan-group
967,967,Reinsurance Group of America,Insurance,"Chesterfield, Missouri",United States,Anna Manning,1973,"3,500","16,650",617,"89,590","7,590",reinsurance-group
968,968,Quest Diagnostics,Health Care Equipment & Services,"Secaucus, New Jersey",United States,Steve Rusckowski,1967,"50,000","10,680","1,870","13,440","16,160",quest-diagnostics
969,969,Solvay,"Construction, Oil & Gas Operations, Mining and Chemicals",Brussels,Belgium,Ilham Kadri,1863,"21,000","13,520","1,120","22,800","10,120",solvay
970,970,Pembina Pipeline,Oil & Gas Operations,Calgary,Canada,J. Scott Burrows,1997,"2,488","6,950",990,"24,900","21,290",pembina-pipeline
971,971,Banque Saudi Fransi,Banking,Riyadh,Saudi Arabia,Rayan Mohammed Hamid,1977,"2,997","2,190",919,"57,480","17,600",banque-saudi-fransi
972,972,SMC,Capital Goods,Tokyo,Japan,Yoshiki Takada,1959,"20,619","6,400","1,670","14,770","33,910",smc
973,973,Sasol,"Construction, Oil & Gas Operations, Mining and Chemicals",Sandton,South Africa,Fleetwood Grobler,1950,"28,949","15,540",643,"24,700","15,280",sasol
974,974,Molson Coors Brewing,"Food, Drink & Tobacco","Golden, Colorado",United States,Gavin D. K. Hattersley,1786,"16,300","10,280","1,010","27,620","11,660",molson-coors-brewing
975,975,Macy's,Retailing,"New York, New York",United States,Jeffrey Gennette,1929,"88,857","25,290","1,430","18,850","6,910",macys
976,976,Bancolombia,Banking,Medellin,Colombia,Juan Carlos Mora Uribe,1945,"29,955","6,080","1,090","71,220","10,890",bancolombia
977,976,Cintas,Business Services & Supplies,"Cincinnati, Ohio",United States,Todd Schneider,1968,"43,000","7,620","1,200","8,170","41,750",cintas
978,978,China International Marine,Capital Goods,Shenzhen,China,Bo Liang Mai,1980,"51,746","25,300","1,030","24,210","5,480",china-international-marine
979,979,Huaneng Power International,Utilities,Beijing,China,Ping Zhao,1994,"57,970","31,470","-1,990","78,570","7,460",huaneng-power-international
980,979,Restaurant Brands International,"Hotels, Restaurants & Leisure",Toronto,Canada,José Eduardo Cil,2014,"5,700","5,740","1,250","23,250","27,230",restaurant-brands-international
981,981,Grupa PZU,Insurance,Warsaw,Poland,Beata Kozlowska-Chyla,1803,"43,310","10,100",863,"99,320","6,440",grupa-pzu
982,982,Kao,Household & Personal Products,Tokyo,Japan,"Michitaka Sawada, Satoshi Kasai",1887,"33,507","12,910",997,"14,800","19,190",kao
983,983,Agile Group Holdings,Construction,Guangzhou,China,Victor Massiah,2005,"98,466","11,520","1,040","49,670","1,850",agile-group-holdings
984,984,Arrow Electronics,Trading Companies,"Centennial, Colorado",United States,Michael J. Long,1946,"20,700","34,480","1,110","19,540","7,570",arrow-electronics
985,985,Shenzhen Overseas,Business Services & Supplies,Shenzhen,China,Li Hsing Tsai,1997,"24,526","14,880",589,"75,320","8,540",shenzhen-overseas
986,985,Tenet Healthcare,Health Care Equipment & Services,"Dallas, Texas",United States,Saumya Sutaria,1967,"101,100","19,450",957,"26,650","7,980",tenet-healthcare
987,987,Grupo Aval,Diversified Financials,Bogota,Colombia,Luis Carlos Sarmiento Gutiérrez,1994,"80,565","10,270",879,"90,150","4,780",grupo-aval
988,988,CP All,Food Markets,Bangkok,Thailand,Tanin Buranamanit,1988,na,"17,650",374,"27,900","17,530",cp-all
989,989,Geely Automobile Holdings,Consumer Durables,Hong Kong,Hong Kong,Sheng Yue Gui,1973,"44,000","15,760",731,"21,080","14,820",geely-automobile-holdings
990,990,Centrica,Utilities,Windsor,United Kingdom,Christopher O’Shea,1997,"7,000","20,280",805,"36,690","5,960",centrica
991,990,Dubai Islamic Bank,Banking,Dubai,United Arab Emirates,Adnan Abdul Shakoor Chilwan,1975,"9,000","3,160","1,040","75,980","12,380",dubai-islamic-bank
992,992,Suzano Papel e Celulose,Materials,Salvador,Brazil,Walter Schalka,1924,"37,000","7,590","1,600","21,360","14,660",suzano-papel-celulose
993,993,Link REIT,Diversified Financials,Hong Kong,Hong Kong,Kwok Lung Hongchoy,2005,"1,200","1,470","1,490","27,990","18,280",link-reit
994,994,Yum! Brands,"Hotels, Restaurants & Leisure",Louisville,Canada,David W. Gibbs,1997,"36,000","6,580","1,570","5,970","35,280",yum-brands
995,995,First Quantum Minerals,Materials,Vancouver,Canada,A. Tristan Pascall,1983,"26,349","8,290",833,"25,270","19,430",first-quantum-minerals
996,996,AerCap Holdings,Business Services & Supplies,Dublin,Ireland,Aengus Kelly,1995,736,"4,520","1,000","74,570","12,590",aercap-holdings
997,997,First Horizon,Banking,"Memphis, Tennessee",United States,Bryan Jordan,1864,"7,500","3,150",962,"88,660","12,210",first-horizon
998,998,Dentsu,Media,Tokyo,Japan,Hiroshi Igarashi,2001,"64,832","9,880",986,"32,310","10,340",dentsu
999,998,Molina Healthcare,Health Care Equipment & Services,"Long Beach, California",United States,Joseph Zubretsky,1980,"14,000","27,770",659,"12,220","19,080",molina-healthcare
1000,1000,Union Bank of India,Banking,Mumbai,India,Rajkiran Gundyadka Rai,1919,"78,202","11,280",673,"148,940","3,620",union-bank-of-india
1001,1001,Toray Industries,Household & Personal Products,Tokyo,Japan,Akihiro Nikkaku,1926,"46,267","19,720",975,"25,730","7,770",toray-industries
1002,1002,Block,IT Software & Services,"San Francisco, California",United States,Jack Patrick Dorsey,2009,"8,521","17,660",166,"13,930","59,550",block
1003,1002,Eletrobrás,Utilities,Rio de Janeiro,Brazil,Rodrigo Limp Nascimento,1962,"12,126","6,970","1,050","33,420","13,420",eletrobras
1004,1004,China Mengniu Dairy,"Food, Drink & Tobacco",Hong Kong,Hong Kong,Min Fang Lu,2004,"41,141","13,660",778,"15,390","21,620",china-mengniu-dairy
1005,1005,Db Insurance,Insurance,Seoul,South Korea,Jeong-Nam Kim,1968,"4,660","14,990",759,"53,620","3,390",db-insurance
1006,1006,E.Sun Financial,Banking,Taipei,Taiwan,Nan Chou Huang,1992,"8,783","3,050",736,"116,780","15,060",esun-financial
1007,1007,OTP Bank,Banking,Budapest,Hungary,Sándor Csányi,1949,"37,866","5,800","1,500","85,020","8,490",otp-bank
1008,1008,SM Investments,Retailing,Manila,Philippines,Frederic Cuyegkeng DyBuncio,1958,"9,000","8,140",781,"26,310","20,010",sm-investments
1009,1009,eBay,Retail and Wholesale,"San Jose, California",United States,Jamie Iannone,1995,"6,300","10,900","-2,180","26,630","31,240",ebay
1010,1010,Edwards Lifesciences,Drugs & Biotechnology,"Irvine, California",United States,Michael A. Mussallem,1958,"16,000","5,230","1,500","8,500","73,550",edwards-lifesciences
1011,1011,Taiwan Cooperative Financial,Banking,Taipei,Taiwan,Mei Tsu Chen,1946,"9,600","2,670",735,"160,260","13,410",taiwan-cooperative-financial
1012,1012,Constellation Brands,"Food, Drink & Tobacco","Victor, New York",United States,William A. Newlands Jr.,1945,"10,000","8,820",-40,"25,860","46,990",constellation-brands
1013,1013,China Jinmao,Construction,Hong Kong,Hong Kong,Cong Rui Li,2004,"12,825","14,010",724,"64,640","4,040",china-jinmao
1014,1014,Fanuc,Capital Goods,Minamitsuru,Japan,Kenji Yamaguchi,1972,"8,256","6,520","1,430","14,790","31,360",fanuc
1015,1015,Yango Group,Construction,Shanghai,China,Rong Bin Zhu,na,"21,319","12,630",828,"57,930","1,660",yango-group
1016,1016,Legrand,Capital Goods,Limoges,France,Benoît Coquart,1860,"34,244","8,270","1,070","15,950","24,350",legrand
1017,1017,Shanghai Pharmaceuticals,Drugs & Biotechnology,Shanghai,China,Da Wei Liu,1994,"47,056","33,360",787,"25,640","6,020",shanghai-pharmaceuticals
1018,1018,AGC,Chemicals,Tokyo,Japan,Takuya Shimamura,1907,"55,999","15,450","1,130","23,150","8,470",agc
1019,1019,Shaanxi Construction Engineering Group,Construction,Xi'an,China,Yong Mo,na,"31,708","23,760",717,"34,620","2,800",shaanxi-construction-engineering-group
1020,1020,Hunan Valin Steel,Materials,Changsha,China,Zhi Qiang Cao,1997,"23,628","25,840","1,430","16,550","6,290",hunan-valin-steel
1021,1021,Goodman Group,Construction,Sydney,Australia,Gregory Leith Goodman,1989,941,"1,270","2,460","13,930","32,020",goodman-group
1022,1022,iA Financial Corporation,Insurance,Québec,Canada,Denis Ricard,1892,"8,500","13,280",679,"73,190","6,130",ia-financial
1023,1023,Unum,Insurance,"Chattanooga, Tennessee",United States,Richard  P. McKenney,1848,"9,064","12,010",824,"59,530","6,750",unum
1024,1024,Anta Sports Products,Household & Personal Products,Xiamen,China,Shi Zhong Ding,1991,"52,000","7,650","1,200","9,830","31,900",anta-sports-products
1025,1025,Continental Resources,Oil & Gas Operations,"Oklahoma City, Oklahoma",United States,William B. Berry,na,"1,254","5,820","1,660","19,000","21,350",continental-resources
1026,1026,Bâloise Group,Insurance,Basel,Switzerland,Gert devWinter,1864,"7,712","11,060",643,"97,850","8,190",baloise-group
1027,1027,Pegatron,Technology Hardware & Equipment,Taipei,Taiwan,Syh-Jang Liao,2007,na,"45,240",735,"24,460","6,560",pegatron
1028,1028,Jones Lang LaSalle,Construction,"Chicago, Illinois",United States,Christian Ulbrich,1783,"98,200","19,490",961,"15,510","11,120",jones-lang-lasalle
1029,1029,American Financial Group,na,"Cincinnati, Ohio",United States,"Carl Henry Lindner, III, S. Craig Lindner, Jr.",1959,"6,600","6,210","2,000","24,890","12,280",american-financial-group
1030,1029,Daiwa Securities,Diversified Financials,Tokyo,Japan,Seiji Nakata,1902,"15,096","5,820","1,160","229,390","7,590",daiwa-securities
1031,1031,Deutsche Lufthansa,Transportation,Cologne,Germany,Carsten Spohr,1953,"105,290","19,870","-2,590","49,460","9,300",deutsche-lufthansa
1032,1031,Invesco,Diversified Financials,"Atlanta, Georgia",United States,Martin Flanagan,1935,"8,513","7,010","1,630","32,690","9,380",invesco
1033,1031,NASDAQ,na,"New York, New York",United States,Adena T. Friedman,1971,"5,814","5,770","1,170","20,820","27,430",nasdaq
1034,1034,Schindler Holding,Capital Goods,Hergiswil,Switzerland,Silvio Napoli,1874,"69,015","12,290",905,"13,140","21,510",schindler-holding
1035,1035,Comerica,Banking,"Dallas, Texas",United States,Curtis C. Farmer,1849,"7,611","2,950","1,000","89,170","10,610",comerica
1036,1036,Mizrahi Tefahot Bank,Banking,Ramat Gan,Israel,Moshe Lari,1923,"7,632","4,340",987,"126,030","9,750",mizrahi-tefahot-bank
1037,1037,Bio-Rad Laboratories,Health Care Equipment & Services,"Hercules, California",United States,Norman D. Schwartz,1952,"7,900","2,920","4,250","17,780","15,990",bio-rad-laboratories
1038,1038,Industries Qatar,Chemicals,Doha,Qatar,Saad Sharida Al-Kaabi,2003,na,"4,240","2,240","11,620","33,560",industries-qatar
1039,1039,Kakao,IT Software & Services,Jejusi,South Korea,Whon Namkoong Euntaek Hong,1995,"3,472","5,360","1,220","19,160","32,230",kakao
1040,1040,Ashtead Group,Business Services & Supplies,London,United Kingdom,Brendan Horgan,1984,"18,826","7,650","1,180","14,780","26,450",ashtead-group
1041,1041,Punjab National Bank,Banking,New Delhi,India,Atul Kumar Goel,1895,"101,802","12,100",571,"178,940","5,100",punjab-national-bank
1042,1042,Delta Electronics,Technology Hardware & Equipment,Taipei,Taiwan,Ping Cheng,1975,na,"11,270",959,"13,200","21,840",delta-electronics
1043,1043,Alcon,Health Care Equipment & Services,Geneva,Switzerland,David J. Endicott,1945,"24,389","8,290",375,"28,000","38,470",alcon
1044,1043,TD SYNNEX,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","Fremont, California",United States,Rich Hume,1980,"91,289","42,150","43,628,720","9,610",td-synnex,
1045,1045,Antofagasta,Materials,London,United Kingdom,Iván Arriagada Herrera,1888,"27,000","7,470","1,290","17,280","18,920",antofagasta
1046,1045,PulteGroup,Construction,"Atlanta, Georgia",United States,Ryan R. Marshall,1950,"6,182","13,930","1,930","13,350","10,120",pultegroup
1047,1045,Wan Hai Lines,Transportation,Taipei,Taiwan,Fu Lung Hsieh,na,na,"8,160","3,700","9,310","13,010",wan-hai-lines
1048,1048,Equinix,Diversified Financials,"Redwood City, California",United States,Charles J. Meyers,1998,"10,944","6,640",500,"27,920","67,840",equinix
1049,1048,Reliance Steel,Materials,"Los Angeles, California",United States,James Donald Hoffman,1939,"13,700","14,090","1,410","9,540","11,930",reliance-steel
1050,1050,PTT Global Chemical,Chemicals,Bangkok,Thailand,Kongkrapan Intarajang,1978,na,"14,650","1,410","22,570","6,580",ptt-global-chemical
1051,1051,Bankinter,Banking,Madrid,Spain,María Dolores Dancausa Treviño,1965,"6,138","2,760","1,560","123,280","5,390",bankinter
1052,1052,Teva Pharmaceutical,Drugs & Biotechnology,Tel Aviv,Israel,Kåre Schultz,1944,"37,537","15,850",423,"47,670","10,630",teva-pharmaceutical
1053,1053,C.H. Robinson,Transportation,"Eden Prairie, Minnesota",United States,Robert Biesterfeld,1905,"16,877","23,100",844,"7,030","13,140",ch-robinson
1054,1054,Verbund,Utilities,Vienna,Austria,Michael Strugl,1947,"3,497","5,650","1,030","19,460","35,600",verbund
1055,1055,Zions Bancorp,Banking,"Salt Lake City, Utah",United States,Harris H. Simmons,1955,"9,685","2,960","1,120","93,200","9,230",zions-bancorp
1056,1056,Bank Of Chengdu,Banking,Chengdu,China,Hui Wang,1996,"6,461","4,690","1,070","115,520","9,080",bank-of-chengdu
1057,1057,3i Group,Diversified Financials,London,United Kingdom,Simon Alexander Borrows,na,234,331,"3,830","16,620","16,820",3i-group
1058,1057,Alinma Bank,Banking,Riyadh,Saudi Arabia,Abdullah Ali Al Khalifa,2006,"2,592","1,910",722,"46,210","21,530",alinma-bank
1059,1059,JDE Peet's,Food & Drink,Amsterdam,Netherlands,Fabien Jacques Simon,2018,"19,621","8,280",904,"25,000","15,030",jde-peets
1060,1060,Cosmo Energy Holdings,Oil & Gas Operations,Tokyo,Japan,Hiroshi Kiriyama,2015,"7,086","21,950","1,360","16,900","2,110",cosmo-energy-holdings
1061,1061,RiseSun Real Estate Development,Construction,Langfang,China,Shan Liu,1996,"24,778","10,880",952,"44,930","2,550",risesun-real-estate-development
1062,1061,Uni-President,"Food, Drink & Tobacco",Tainan,Taiwan,"Chao Kai Huang, Ching Tien Li",1967,na,"16,950",711,"18,580","13,090",uni-president
1063,1063,Mahindra & Mahindra,Consumer Durables,Mumbai,India,Anish Dilip Shah,1945,"61,297","11,590",731,"22,360","14,960",mahindra-mahindra
1064,1064,Telenor,Telecommunications Services,Fornebu,Norway,Sigve Brekke,1855,"18,000","12,980",237,"25,600","20,410",telenor
1065,1065,UCB,Drugs & Biotechnology,Brussels,Belgium,Jean-Christophe Tellier,1928,"8,561","6,830","1,250","16,160","22,350",ucb
1066,1066,Interpublic Group,Business Services & Supplies,"New York, New York",United States,Philippe Krakowsky,1930,"55,600","10,240",952,"19,910","13,810",interpublic-group
1067,1067,Akzo Nobel,Chemicals,Amsterdam,Netherlands,Thierry F. J. Vanlancker,1969,"32,800","11,440",889,"17,410","15,610",akzo-nobel
1068,1067,Celanese,Chemicals,"Irving, Texas",United States,Lori J. Ryerkerk,1918,"8,529","8,540","1,890","11,970","15,420",celanese
1069,1069,AvalonBay Communities,Diversified Financials,"Arlington, Virginia",United States,Benjamin W. Schall,1978,"2,927","2,330","1,000","19,900","35,580",avalonbay-communities
1070,1069,Randstad N.V.,Business Services & Supplies,Diemen,Netherlands,Alexander M. van Noordende,1960,"37,930","29,120",907,"12,760","10,410",randstad-nv
1071,1071,Sibanye Stillwater,Materials,Weltevreden Park,South Africa,Neal John Froneman,2002,"84,521","11,640","2,230","9,590","10,270",sibanye-stillwater
1072,1072,First Financial Holding,Banking,Taipei,Taiwan,Ying Wu,2003,"9,925","2,940",706,"135,160","12,380",first-financial-holding
1073,1073,Microchip Technology,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","Chandler, Arizona",United States,Ganesh Moorthy,1989,"21,000","6,440",963,"16,050","36,730",microchip-technology
1074,1074,Flex,"Engineering, Manufacturing",Singapore,Singapore,Revathi Advaithi,1969,"170,000","25,460","1,010","18,180","7,780",flex
1075,1074,Liberty Media Corporation Series A Liberty Formula One,Media,"Englewood, Colorado",United States,Gregory Ben Maffei,1991,"6,800","11,400",398,"44,350","14,140",liberty-media-corporation-series-a-liberty-formula-one
1076,1076,Agilent Technologies,Health Care Equipment & Services,"Santa Clara, California",United States,Michael R. McMullen,1999,"16,000","6,450","1,210","10,330","36,410",agilent-technologies
1077,1077,Guangzhou Automobile Group,Consumer Durables,Guangzhou,China,Xing Ya Feng,1997,"94,856","11,740","1,160","24,200","8,590",guangzhou-automobile-group
1078,1078,Rosseti,Utilities,Moscow,Russia,Andrey Valerievich Ryumin,na,652,"14,500",787,"38,880","1,620",rosseti
1079,1079,Beijing Shougang,Materials,Beijing,China,Jian Hui Liu,na,"15,970","20,560",924,"23,050","6,460",beijing-shougang
1080,1080,CGI,na,Montreal,Canada,George Schindler,1976,"90,000","9,730","1,110","11,640","19,360",cgi
1081,1081,Csc Financial,Diversified Financials,Beijing,China,Ge Ping Li,2005,"11,778","6,060","1,500","71,040","7,390",csc-financial
1082,1081,ThyssenKrupp Group,Conglomerates,Essen,Germany,Martina Merz,1999,"101,275","42,220",160,"40,950","4,880",thyssenkrupp-group
1083,1083,Shenzhen Mindray Bio-Medical Electronics,Health Care Equipment & Services,Shenzhen,China,Ming He Cheng,1991,"14,684","4,070","1,310","6,040","56,300",shenzhen-mindray-bio-medical-electronics
1084,1084,Hoya,Technology Hardware & Equipment,Tokyo,Japan,Eiichiro Ikeda,1944,"37,245","5,860","1,420","8,360","36,800",hoya
1085,1085,Tongwei,"Food, Drink & Tobacco",Chengdu,China,Yi Zhong Guo,1995,"25,549","9,070",955,"12,900","25,560",tongwei
1086,1086,Kuwait Finance House,Banking,Kuwait City,Kuwait,Abdulwahab Essa Abdulwahab Al-Rushoud,1977,"15,000","3,480",483,"72,950","29,560",kuwait-finance-house
1087,1087,Grupo Bimbo,"Food, Drink & Tobacco",Mexico City,Mexico,Daniel Javier Servitje Montull,1945,"137,542","17,180",788,"16,500","12,330",grupo-bimbo
1088,1087,LKQ,Consumer Durables,"Chicago, Illinois",United States,Dominick Paul Zarcone,1998,"46,000","13,090","1,090","12,610","14,070",lkq
1089,1089,Chubu Electric Power,Utilities,Nagoya,Japan,Akihisa Mizuno,1951,"28,238","24,120",-205,"52,960","7,710",chubu-electric-power
1090,1090,Lithia Motors,Retailing,"Medford, Oregon",United States,Bryan B. DeBoer,1946,"21,150","25,190","1,250","12,080","8,530",lithia-motors
1091,1091,Swire Pacific,Conglomerates,Hong Kong,Hong Kong,Merlin Bingham Swire,1816,"32,560","11,680",640,"55,960","8,520",swire-pacific
1092,1092,Unicaja Banco,Banking,Malaga,Spain,Manuel Menéndez Menéndez,2011,"7,200","1,690","1,320","131,400","2,690",unicaja-banco
1093,1093,Mazda Motor,Automotive (Automotive and Suppliers),Hiroshima,Japan,Akira Marumoto,1920,"49,786","28,080",691,"26,090","4,530",mazda-motor
1094,1094,Telecom Italia,Telecommunications Services,Rome,Italy,Pietro Labriola,1994,"51,929","18,180","-10,190","78,680","6,560",telecom-italia
1095,1095,China Galaxy Securities,Diversified Financials,Beijing,China,Liang Chen,2007,"12,661","4,980","1,570","87,890","5,850",china-galaxy-securities
1096,1096,CNPC Capital,Capital Goods,Beijing,China,Shang Jun Jiang,1920,"4,292","5,330",860,"155,420","9,490",cnpc-capital
1097,1097,China Southern Airlines,Transportation,Guangzhou,China,Xu Lun Ma,1988,"100,431","15,760","-1,880","50,710","9,460",china-southern-airlines
1098,1097,Dassault Systemes,IT Software & Services,Vélizy-Villacoublay,France,Bernard Charlès,1981,"20,496","5,750",914,"16,170","56,730",dassault-systemes
